Text,Label,Types
"""The vilification of the free press as 'fake news' undermines the Fourth Estate's vital role.""",Bullying ,Political
"""Government failures in disaster response result in unnecessary suffering and loss of life.""",Bullying ,Political
"""The use of voter suppression tactics undermines the principles of democracy.""",Bullying ,Political
"""The revolving door between government and the private sector raises concerns about conflicts of interest.""",Bullying ,Political
"""The neglect of infrastructure and public services negatively impacts citizens' quality of life.""",Bullying ,Political
"""The lack of campaign finance reform allows for the undue influence of money in politics.""",Bullying ,Political
"""The rise of political polarization has led to gridlock in addressing pressing national issues.""",Bullying ,Political
"""The expansion of executive power without checks and balances undermines democracy.""",Bullying ,Political
"""The lack of accountability for human rights abuses in some countries perpetuates oppression.""",Bullying ,Political
"""Political leaders who prioritize short-term gains over long-term sustainability harm future generations.""",Bullying ,Political
"Your presence in my life is a blessing I'm always grateful for.""",Not-Bullying,
"""Your posts never fail to inspire me. Keep sharing your wisdom!""",Not-Bullying,
"""You have a heart of gold, and it shines through in everything you do.""",Not-Bullying,
"""The world needs more people like you. Keep being your amazing self!""",Not-Bullying,
"""Your kindness has a ripple effect, touching everyone lucky enough to know you.""",Not-Bullying,
"""This picture captures a perfect moment, and you look absolutely stunning!""",Not-Bullying,
"""I'm continually amazed by your talents and accomplishments.""",Not-Bullying,
"""Your positive outlook on life is a beacon of hope for us all.""",Not-Bullying,
"""You make Facebook a better place with your uplifting posts.""",Not-Bullying,
"""Thank you for always brightening my day with your posts.""",Not-Bullying,
"""Your friendship is a precious gift I cherish.""",Not-Bullying,
"""Your energy and enthusiasm are truly contagious!""",Not-Bullying,
"""You have an incredible ability to make everyone feel welcome and appreciated.""",Not-Bullying,
"""Your posts are like a daily dose of inspiration. Keep 'em coming!""",Not-Bullying,
"""You have a way of making the ordinary seem extraordinary.""",Not-Bullying,
"""Your authenticity is a breath of fresh air in the digital world.""",Not-Bullying,
"""I feel so lucky to have you as a friend. You bring so much joy.""",Not-Bullying,
"""Your love and support mean the world to me.""",Not-Bullying,
"""You have a special way of making people feel valued and loved.""",Not-Bullying,
"""Your positive impact on others is immeasurable. Keep spreading the love",Not-Bullying,
"Your words of wisdom are a guiding light in my life.""",Not-Bullying,
"""Your friendship is a treasure I hold dear. Thank you for being you.""",Not-Bullying,
"""Your posts always add a touch of beauty and inspiration to my day.""",Not-Bullying,
"""You have a way of making even the toughest challenges seem conquerable.""",Not-Bullying,
"""I'm continually amazed by your resilience and determination.""",Not-Bullying,
"""Your positive attitude is a gift to us all. Keep shining!""",Not-Bullying,
"""You have a true talent for making others feel valued and appreciated.""",Not-Bullying,
"""Your support means more to me than words can express.""",Not-Bullying,
"""I admire your dedication and passion for what you do.""",Not-Bullying,
"""Your compassion and empathy make the world a better place.""",Not-Bullying,
"""Your posts are a source of joy and enlightenment.""",Not-Bullying,
"""You have a way of making the ordinary moments in life extraordinary.""",Not-Bullying,
"""Your kindness and generosity have a ripple effect, touching many lives.""",Not-Bullying,
"""Thank you for always lifting my spirits with your Facebook posts.""",Not-Bullying,
"""Your creativity and imagination know no bounds.""",Not-Bullying,
"""You are a source of inspiration and strength for so many.""",Not-Bullying,
"""Your positive energy is like a breath of fresh air.""",Not-Bullying,
"""Your love and friendship are the greatest gifts of all.""",Not-Bullying,
Send me nudes.,Bullying,Sexual
I can't stop thinking about your body.,Bullying,Sexual
You're so sexy; I want you.,Bullying,Sexual
I'll make your life hell if you don't do what I say.,Bullying,Sexual
I bet you'd be great in bed.,Bullying,Sexual
You're asking for it with those pictures.,Bullying,Sexual
"I'm watching you, even when you don't know it.",Bullying,Sexual
I want to see what's under those clothes.,Bullying,Sexual
You're such a tease.,Bullying,Sexual
You'd be so much prettier if you smiled more.,Bullying,Sexual
You owe me something for all the attention I've given you.,Bullying,Sexual
I'll share those pictures if you don't do what I want.,Bullying,Sexual
I can't control myself around you.,Bullying,Sexual
You should wear more revealing clothes.,Bullying,Sexual
You're so hot; it's distracting.,Bullying,Sexual
I can't help but touch myself when I think about you.,Bullying,Sexual
You should be flattered by all the attention.,Bullying,Sexual
I can make your dreams come true if you let me.,Bullying,Sexual
You're such a prude.,Bullying,Sexual
I'll make sure you regret saying no.,Bullying,Sexual
I know where you live.,Bullying,Sexual
You're such a frigid bitch.,Bullying,Sexual
You can't say no to me.,Bullying,Sexual
"I'm going to make you mine, one way or another.",Bullying,Sexual
You're just playing hard to get.,Bullying,Sexual
I'll expose you if you don't do as I say.,Bullying,Sexual
You're just a piece of meat to me.,Bullying,Sexual
"You're leading me on, whether you admit it or not.",Bullying,Sexual
You should be grateful for my attention.,Bullying,Sexual
You're so uptight; loosen up a bit.,Bullying,Sexual
I'll show everyone those pictures if you don't comply.,Bullying,Sexual
I can't control my desires when I see you.,Bullying,Sexual
You're just asking for trouble.,Bullying,Sexual
You'll regret rejecting me.,Bullying,Sexual
I'll make sure you pay for saying no.,Bullying,Sexual
You're just a toy to me.,Bullying,Sexual
You can't escape me.,Bullying,Sexual
You should have known better than to trust me.,Bullying,Sexual
I'll make you sorry for crossing me.,Bullying,Sexual
You can't resist me; nobody can.,Bullying,Sexual
I try to rep,Bullying ,Sexual
You are hero of the fool,Bullying ,Troll
Someone told me that trolls live in caves,Not-Bullying ,
The adventurers sought shelter in a cave,Not-Bullying ,
They say a troll looks like a hideous dwarf,Not-Bullying ,
The trolls are just an unfortunate side effect.,Not-Bullying ,
u looks beautiful ,Not-Bullying ,
 Is someone in charge just trolling fans?,Bullying ,Troll
What a nice flower,Not-Bullying ,
 That is television trolling at its best.,Bullying,Troll
Nice people,Not-Bullying ,
Probably because trolls are scared of daylight.,Bullying,Troll
Happy day,Not-Bullying ,
 This lands him in firm troll territory.,Bullying,Troll
So happy u are,Not-Bullying ,
There are these stop copyright trolls guys if memory serves .,Bullying,Troll
Hey u looks preety,Not-Bullying ,
The trolls on this board are similar .,Bullying,Troll
you are fine ,Not-Bullying ,
There will definitely always be trolling commenters .,Bullying,Troll
Watching movie,Not-Bullying ,
Why are you trolling here is the question ?,Bullying,Troll
Burger is my fav food,Not-Bullying ,
Therefore making yourself look the troll fool again .,Bullying ,Troll
I see every day,Not-Bullying ,
 The trolls sure are out in full force today .,Bullying ,Troll
My home is beautiful ,Not-Bullying ,
My guess is you troll with very little grace .,Bullying ,Troll
So sorry,Not-Bullying ,
Calling someone a patent troll is a hate crime .,Bullying ,Troll
I love him,Not-Bullying ,
My mother best mom,Not-Bullying ,
Wonderful country ,Not-Bullying ,
Loves me,Not-Bullying ,
Bby is a cute face,Not-Bullying ,
I see bangaldesh is beautiful country ,Not-Bullying ,
Australian people.are very bad,Bullying ,Ethnicity 
what a jokes boys ,Bullying ,Troll
Sexy me everyone ,Bullying ,Sexual
"The manipulation of public perception through disinformation campaigns undermines democracy.""",Bullying ,Political
"""The polarization of media outlets contributes to the spread of misinformation and fake news.""",Bullying ,Political
"""The neglect of public education perpetuates inequality and limits opportunities for future generations.""",Bullying ,Political
"""Political leaders who prioritize personal loyalty over competence weaken governance.""",Bullying ,Political
"""The lack of transparency in government decision-making undermines accountability.""",Bullying ,Political
"""The erosion of trust in institutions fuels political apathy and disengagement.""",Bullying ,Political
"""The exploitation of crises for political gain undermines the public's faith in leadership.""",Bullying ,Political
"""The misuse of government resources for personal or political purposes is a betrayal of public trust.""",Bullying ,Political
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religion
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religon
Thank you for showing your hidden face to the liberal muslim idiots above,Bullying,Religon
President Donald Trump on Radical Islamic Terrorism,Bullying,Religon
"The terrorists do not represent Islam, they misinterpret it and carry out vicious attacks. ",Bullying,Religon
"If Hindutva fights against radical Islam, Christian evangelism then I'll support",Bullying,Religon
Ohhh Humanity! When Islamic Terrorists Bombed Mumbai,Bullying,Religon
"""You're a TikTok maverick",Not-Bullying,
Muslims are tut tut,Bullying ,Religion 
Hindu are killed israil,Bullying ,Religion 
I want your ass in my bed,Bullying ,Sexual 
You have never studied the barbarity of the Muslims during,Bullying ,Religion 
IsraeliRegime So don't feed me your little piece of taqiyya BS,Bullying ,Religion 
Islam is corrupt from the beginning.,Bullying ,Religion 
"The toxic work environment at that company led to high employee turnover.""",Bullying ,Vocational
"""Despite years of dedication, she was repeatedly passed over for promotions.""",Bullying ,Vocational
"""His chosen profession requires long hours and constant stress, affecting his health negatively.""",Bullying ,Vocational
"""The lack of job security in the gig economy leaves workers vulnerable.""",Bullying ,Vocational
"""The cutthroat competition in the industry makes it difficult to maintain a healthy work-life balance.""",Bullying ,Vocational
"""The job market in that field is oversaturated, making it hard to find employment.""",Bullying ,Vocational
"""The absence of benefits like healthcare and retirement plans is a drawback of freelance work.""",Bullying ,Vocational
"""Many find it challenging to find meaningful work in a stagnant economy.""",Bullying ,Vocational
"""The demands of the job frequently lead to burnout and mental health issues.""",Bullying ,Vocational
"""In some professions, gender and racial biases continue to hinder career advancement.""",Bullying ,Vocational
"The demanding workload and unrealistic expectations from management result in chronic stress among employees.""",Bullying ,Vocational
"""Job insecurity has led to a lack of job satisfaction and a constant fear of layoffs.""",Bullying ,Vocational
"""The constant need to upskill and stay competitive in the job market adds pressure to professionals.""",Bullying ,Vocational
"""The corporate culture prioritizes profit over the well-being of its employees, leading to a toxic atmosphere.""",Bullying ,Vocational
"""The lack of work-life balance in some industries can strain personal relationships and lead to burnout.""",Bullying ,Vocational
"""The prevalence of unpaid internships exploits young professionals seeking experience.""",Bullying ,Vocational
"Your positive outlook on life is a source of inspiration for us all.""",Not-Bullying,
"""Your kindness and compassion make you a true friend to everyone you meet.""",Not-Bullying,
"""Your laughter is like a melody that brightens any room.""",Not-Bullying,
"""Your determination to overcome challenges is nothing short of admirable.""",Not-Bullying,
"""Your friendship has brought so much warmth and light into my life.""",Not-Bullying,
"""Your words always resonate with wisdom and authenticity.""",Not-Bullying,
"""Your generosity knows no bounds, and it's a gift to know someone as giving as you.""",Not-Bullying,
"""Your posts are a daily reminder to appreciate the beauty in the world.""",Not-Bullying,
"""Your enthusiasm is infectious, and it's impossible not to be uplifted by it.""",Not-Bullying,
"""Your creativity knows no limits, and it's a joy to witness your talents.""",Not-Bullying,
"""Your positive energy is like a gentle breeze that brings comfort and peace.""",Not-Bullying,
"""Your support has been a lifeline during my toughest moments. Thank you!""",Not-Bullying,
"""Your authenticity is a rare and precious quality that I deeply admire.""",Not-Bullying,
"""Your love and friendship have made my life immeasurably better.""",Not-Bullying,
"""Your presence in my life is a constant source of happiness and inspiration.""",Not-Bullying,
"""Your strength and resilience are qualities I truly respect.""",Not-Bullying,
"""Your words have a way of touching the hearts of those who read them.""",Not-Bullying,
"""Your ability to find joy in the little things is a gift that inspires me.""",Not-Bullying,
"""Your positivity is a light that brightens even the darkest of days.""",Not-Bullying,
"""Your friendship is a treasure I hold close to my heart, and I'm grateful for it every day",Not-Bullying,
Ohhh Humanity! When Islamic Terrorists Bombed Mumbai,Bullying,Religon
"""You're a TikTok maverick",Not-Bullying,
Muslims are tut tut,Bullying ,Religion 
Hindu are killed israil,Bullying ,Religion 
I want your ass in my bed,Bullying ,Sexual 
You have never studied the barbarity of the Muslims during,Bullying ,Religion 
IsraeliRegime So don't feed me your little piece of taqiyya BS,Bullying ,Religion 
Islam is corrupt from the beginning.,Bullying ,Religion 
"""Your positivity is like a ray of sunshine on even the cloudiest days.""",Not-Bullying,
"""Your words always strike a chord in my heart and mind.""",Not-Bullying,
"""Your authenticity and honesty make you a truly special person.""",Not-Bullying,
"""Your support and encouragement mean the world to me. Thank you!""",Not-Bullying,
"""Your friendship has added so much richness to my life. I'm grateful for you.""",Not-Bullying,
"""Your creativity knows no bounds, and it's a pleasure to witness.""",Not-Bullying,
"The proliferation of political polarization has led to a toxic and unproductive political climate.""",Bullying ,Political
"""The exploitation of crises for political gain undermines the public's faith in leadership.""",Bullying ,Political
"""The misuse of government resources for personal or political purposes is a betrayal of public trust.""",Bullying ,Political
"""The erosion of press freedom threatens the role of the media as a watchdog of democracy.""",Bullying ,Political
"""The lack of campaign finance reform perpetuates a system where money influences policy.""",Bullying ,Political
"""Political leaders who prioritize ideology over pragmatic solutions hinder progress.""",Bullying ,Political
"""The politicization of intelligence agencies undermines their effectiveness and credibility.""",Bullying ,Political
"""The use of identity politics to divide and conquer weakens social cohesion.""",Bullying ,Political
"""The neglect of cybersecurity measures leaves nations vulnerable to cyberattacks.""",Bullying ,Political
"""Political leaders who stoke xenophobia and discrimination perpetuate social divisions.""",Bullying ,Political
"""The lack of accountability for government officials who engage in corruption undermines justice.""",Bullying ,Political
"""The erosion of norms and civility in political discourse fosters hostility and incivility.""",Bullying ,Political
"""The abuse of power by politicians threatens the democratic principles of checks and balances.""",Bullying ,Political
"""The disregard for international agreements and treaties damages global cooperation.""",Bullying ,Political
"""The misuse of government resources for personal or political purposes is a betrayal of public trust.""",Bullying ,Political
"""The erosion of press freedom threatens the role of the media as a watchdog of democracy.""",Bullying ,Political
"The toxic work environment at that company led to high employee turnover.""",Bullying ,Vocational
"""Despite years of dedication, she was repeatedly passed over for promotions.""",Bullying ,Vocational
"""His chosen profession requires long hours and constant stress, affecting his health negatively.""",Bullying ,Vocational
"""The lack of job security in the gig economy leaves workers vulnerable.""",Bullying ,Vocational
"""The cutthroat competition in the industry makes it difficult to maintain a healthy work-life balance.""",Bullying ,Vocational
"""The job market in that field is oversaturated, making it hard to find employment.""",Bullying ,Vocational
"""The absence of benefits like healthcare and retirement plans is a drawback of freelance work.""",Bullying ,Vocational
"""Many find it challenging to find meaningful work in a stagnant economy.""",Bullying ,Vocational
"""The demands of the job frequently lead to burnout and mental health issues.""",Bullying ,Vocational
"""In some professions, gender and racial biases continue to hinder career advancement.""",Bullying ,Vocational
"The demanding workload and unrealistic expectations from management result in chronic stress among employees.""",Bullying ,Vocational
"""Job insecurity has led to a lack of job satisfaction and a constant fear of layoffs.""",Bullying ,Vocational
"""The constant need to upskill and stay competitive in the job market adds pressure to professionals.""",Bullying ,Vocational
"""The corporate culture prioritizes profit over the well-being of its employees, leading to a toxic atmosphere.""",Bullying ,Vocational
"""The lack of work-life balance in some industries can strain personal relationships and lead to burnout.""",Bullying ,Vocational
"""The prevalence of unpaid internships exploits young professionals seeking experience.""",Bullying ,Vocational
Sexy figure ,Bullying,Sexual
"""The demands of the job frequently lead to burnout and mental health issues.""",Bullying ,Vocational
"""In some professions, gender and racial biases continue to hinder career advancement.""",Bullying ,Vocational
"The demanding workload and unrealistic expectations from management result in chronic stress among employees.""",Bullying ,Vocational
"""Job insecurity has led to a lack of job satisfaction and a constant fear of layoffs.""",Bullying ,Vocational
"""Your creativity and imagination know no boundaries.""",Not-Bullying,
"""Your words have the power to lift spirits and brighten days.""",Not-Bullying,
"""Your support has been a guiding light in my life. Thank you for being there.""",Not-Bullying,
"""Your friendship has added immeasurable richness to my life.""",Not-Bullying,
"""Your kindness and compassion have touched the lives of many.""",Not-Bullying,
"""Your ability to see the good in others is a beautiful quality.""",Not-Bullying,
"""Your positive energy is like a force of nature, and it's truly inspiring.""",Not-Bullying,
"""Your friendship is a gift I cherish, and I'm grateful for every moment we share.""",Not-Bullying,
"""Your presence in the world is a gift, and I'm thankful to know you.""",Not-Bullying,
Feel free to use these comments to express your appreciation and affection for the people who brighten your life on Facebook. Your kind words can make their day a little brighter and reinforce your bonds of friendship and love.,Not-Bullying,
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religion
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religon
Thank you for showing your hidden face to the liberal muslim idiots above,Bullying,Religon
President Donald Trump on Radical Islamic Terrorism,Bullying,Religon
"The terrorists do not represent Islam, they misinterpret it and carry out vicious attacks. ",Bullying,Religon
"If Hindutva fights against radical Islam, Christian evangelism then I'll support",Bullying,Religon
Ohhh Humanity! When Islamic Terrorists Bombed Mumbai,Bullying,Religon
yes because wearing a mask makes you become Muslim. Idiots,Bullying,Religion
Did your prophet murder apostates - yes.  Did your prophet rob caravans and commit genocide - yes.,Bullying,Religion
"Yet, even then, if terrorists desist, the Quran forbids aggression against them",Bullying,Religion
" she was SIX, and you, like your prophet, are a liar.",Bullying,Religion
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religion
" If god is protecting his Islam, why does he need you to protect it, murder apostates, and spread his vile religion by sword.",Bullying,Religon
Thank you for showing your hidden face to the liberal muslim idiots above,Bullying,Religon
President Donald Trump on Radical Islamic Terrorism,Bullying,Religon
"The terrorists do not represent Islam, they misinterpret it and carry out vicious attacks. ",Bullying,Religon
"If Hindutva fights against radical Islam, Christian evangelism then I'll support",Bullying,Religon
Ohhh Humanity! When Islamic Terrorists Bombed Mumbai,Bullying,Religon
"He's a Christian nationalist, plz support him for he's fighting radical Izlemic terrorism.",Bullying,Religon
Have the ISIS people and the other Muslim terrorists who are out to destroy the world ever read the Holy Quran?,Bullying,Religon
And that is the issue - you need simple rules to get people to understand quickly.,Bullying,Religon
Help muslim men avoid Fitna as it's only Muslim women they'll encounter na.,Bullying,Religon
Never u can win. Its not only politics. Its Islamic terrorism to denounce all,Bullying,Religon
"I didnt just disagreeing with the idiot indonesian muslims for nonsense shit,",Bullying,Religon
"Thanks for calling idiot, we don't hate them because they were Muslims",Bullying,Religon
Dnaer sis basher agay,Bullying ,Political
"""The erosion of diplomatic relations with key allies damages our global standing.""",Bullying ,Political
"""Political cronyism in awarding government contracts wastes taxpayer dollars.""",Bullying ,Political
"The toxic work environment at that company led to high employee turnover.""",Bullying ,Vocational
"""Despite years of dedication, she was repeatedly passed over for promotions.""",Bullying ,Vocational
"""His chosen profession requires long hours and constant stress, affecting his health negatively.""",Bullying ,Vocational
"""The lack of job security in the gig economy leaves workers vulnerable.""",Bullying ,Vocational
"""The cutthroat competition in the industry makes it difficult to maintain a healthy work-life balance.""",Bullying ,Vocational
"""The job market in that field is oversaturated, making it hard to find employment.""",Bullying ,Vocational
"""The absence of benefits like healthcare and retirement plans is a drawback of freelance work.""",Bullying ,Vocational
"""Many find it challenging to find meaningful work in a stagnant economy.""",Bullying ,Vocational
"""The demands of the job frequently lead to burnout and mental health issues.""",Bullying ,Vocational
"""In some professions, gender and racial biases continue to hinder career advancement.""",Bullying ,Vocational
"The demanding workload and unrealistic expectations from management result in chronic stress among employees.""",Bullying ,Vocational
"""Job insecurity has led to a lack of job satisfaction and a constant fear of layoffs.""",Bullying ,Vocational
"""The constant need to upskill and stay competitive in the job market adds pressure to professionals.""",Bullying ,Vocational
"""The corporate culture prioritizes profit over the well-being of its employees, leading to a toxic atmosphere.""",Bullying ,Vocational
"""The lack of work-life balance in some industries can strain personal relationships and lead to burnout.""",Bullying ,Vocational
"""The prevalence of unpaid internships exploits young professionals seeking experience.""",Bullying ,Vocational
"""Discrimination and harassment in the workplace create hostile environments for marginalized employees.""",Bullying ,Vocational
"""The excessive bureaucracy and red tape in some organizations hinder efficiency and innovation.""",Bullying ,Vocational
"""The overreliance on contract and gig workers results in limited job security and benefits.""",Bullying ,Vocational
"Your TikToks are like a burst of sunshine on my feed!""",Not-Bullying,
"""I love the positive energy you bring to TikTok. Keep it up!""",Not-Bullying,
"""Your videos are proof that small moments can be incredibly special.""",Not-Bullying,
"""You have a special talent for connecting with your audience. It feels like we're all friends.""",Not-Bullying,
"""Thank you for sharing your passion and joy with us. It's truly inspiring.""",Not-Bullying,
"""Your TikToks never fail to put a smile on my face.""",Not-Bullying,
"""Your enthusiasm is so refreshing. You make TikTok a better place.""",Not-Bullying,
"""You have a way of making even the most mundane tasks look fun!""",Not-Bullying,
"""Your positivity is a bright light in a sometimes chaotic online world.""",Not-Bullying,
"""You're a role model for spreading kindness and happiness on TikTok.""",Not-Bullying,
"""Your content is like a daily dose of motivation and positivity.""",Not-Bullying,
"""Your videos are a delightful escape from the daily grind.""",Not-Bullying,
"J patre khay se patroi futo kore ,soytan",Bullying,Troll
Ten outside soon doctor shake everyone treatment seat radio land. ,Not-Bullying,
my life has come to a standstill and at this point.,Not-Bullying,
 I'm all for reparations to anyone that wants them of any race.   ,Not-Bullying,
girl this nigga make me sick to my stomach,Bullying,Ethnicity
I wanna fuck you,Bullying,Sexual
"Oh hey, you should be ashamed of your disgusting self",Not - Bullying,
Haha isn't route running part of the position? People are dumb. But fuck edelman! He just looks like he says,Bullying ,Ethnicity
Racism is when u select yur white clothes to wash first before the black and colored ones,Bullying,Ethnicity
Who are islamists? Those who fully follow the teachings of Muhammed found in the Quran and Hadiths,Bullying,Religion 
Male action movies...ehhhh @That_Damn_Ram Not sexist but female action movies...ehhhh,Bullying ,Religion 
Wishing my arena partner was on.,Not Bullying ,
"I hope this round humbled the girls, they can't cook",Not- Bullying ,
Ha-ha-ha-ha-ha! Islam is against evil ,Bullying,Religion
Thanks to everyone that came out to walk with us and San Benito Bully dog  group.,Not -Bullying,
Dealing with harassment,Not- Bullying ,
"you not only a nigger, you're a dumb nigger. Fuck you and your riots. You want war?",Bullying,Ethnicity
I hate your job too.,Bullying,
Get fucking real dude.,Bullying ,Sexual
Heh. Fuck 'em WHERE?!?,Bullying,Sexual
You know there are people out there who like but don't listen to old school.,Not-Bullying ,
Really miss my classmates n schoolmates. See you all soon people,Not-Bullying ,
Let's talk about what it means to be a victim,Not-Bullying ,
no one ever help.me like my bully,Not-Bullying ,
My friends and me got called niggers by this Mexican chick . ,Bullying ,Ethnicity
Idiot I'm talking about Halal Products not Muslims. Are you saying Halal products means Muslims ?,Bullying ,Religion
"As is said,the basic criteria to be a muslim is to be a chootiya and become katua, that makes you a perfect idiot and follower of Allah",Bullying ,Religion
Israel and US have the same enemies.,Bullying ,Religion
Bangladesh is a looser country ,Bullying,Threats 
Bangladesh are allout o 100 runs.,Bullying,Troll
I love sunny leone and sweet children's ,Not-Bullying ,
Me your big friend from bangladesh,Bullying,Troll
i m not tired babe.....i have been flying like clouds in ur mind,Bullying ,Sexual
Hahaha!  Well take care then. ,Bullying,Troll
Yay! Yaya on the dance floor I like the way she is confident about her body,Not-Bullying,
Bangladesh is a so beautiful Country ,Not-Bullying,
HOLY FUCK! GIRL YOU CANT DO STUFF LIKE THAT!,Bullying ,sexual
Son of a bitch!,Bullying,Threats 
Motherchod. Fuck of you!,Bullying ,Threats 
r u a drty slut?,Bullying,Vocational
You are a dirty mind people.,Bullying ,Vocational
Looks like beatiful,Not -Bullying ,
Wishing my arena partner was on.,Not-Bullying,
See you all soon Bebs.,Not-Bullying,
He killed him,Bullying,Threats
Oil your own machine.,Bullying ,Threats
she loves flower,Not-Bullying,
you are a fatty fat fat,Bullying,Troll
Maram wanted to research the roots of her,Bullying ,Ethnicity
You look like a gypsy. Sorry I'm not sorry.,Not-Bullying,Vocational 
"Walked out of the shelter with no puppy, but now I have a date. ",Not bullying ,
wait your fb is banned now ,Bullying,Threats
Heroalom er cehara dekte akebare nispap baccha,Bullying,Troll
The Muslim Brotherhood President of Egypt was removed in 2013 by Obama You guys are idiots.,Bullying,Religion
To RESTRICT Jihadis-Terrorists CONSPIRING Ghazwa-e-Hind Dar-ul-Harb JIHAD against Hindus-Hindutva-Hindusthan-Humanity,Bullying,Religion
Hey girl your sexy figure is so nice,Bullying,Sexual
I love my country,Not-Bullying,
 None of them can show anything in her past but current plans.,Bullying,Ethnicity 
Have not seen a white girl/boy act as dumb or hateful as a nigger or beaner since election but fuck white people we are racists!,Bullying ,Ethnicity 
kimjonun is a dangerous person ,Bullying,Political
"Shut the fuck up, Red, you dumb nigger",Bullying,Ethnicity
Fuck u baby ,Bullying ,Sexual
Looks like pretty ,Not-Bullying,
"Sister, your baby is so cute",Not-Bullying,
I fucking forgot it. So mad.,Bullying,Sexual
 the tourists suck worse,Bullying,Political
she sucks.,Bullying,Sexual
FUCK ME !,Bullying,Sexual
Now you are finished ,Bullying ,Threats
You cannot Salat,Bullying,Religion
I got my system working in here,Not-Bullying,
you are a fuck boy lusser,Bullying,Vocational
Hate them.,Bullying ,Vocational
I'm sure you are a loser,Bullying ,Vocational
I want fuck you,Bullying,Sexual
You are mine,Not-Bullying,
you are killed him,Bullying,Threats 
I think feeling is one of ur first senses to go,Bullying,Ethnicity
Racism in this country is what's driving us all nuts,Bullying,Ethnicity
Let the law do their diligence. You morons! ,Bullying ,Ethnicity
Your friends are all stupid niggers so how are they any help to you?!,Bullying,Ethnicity
Wow sexy girl.,Bullying ,Sexual
One night stay with you bby..,Bullying,Sexual
Which is why he was fired by Muslim people,Bullying,Religion
I'm not sure about the universe.,Not-Bullying,Religion
Mondir vanish to the world.,Bullying.,Religion
I like it ,Not-Bullying,
I want to buy a car,Not-Bullying,
I want to talk with you,Not-Bullying,
Hot Figure,Bullying,Sexual
He likes to paint by himself.,Not-Bullying,
You are a poor people,Bullying,Vocational
killed him buddis people,Bullying ,Religion
I want to be a computer engineer. ,Not-Bullying,
Brazil is not a country in Europe.,Not-Bullying,
I want to do something.,Not-Bullying,
You should go take it from him.,Not-Bullying,
We borrowed her car.,Not-Bullying,
Julie talks very fast.,Not-Bullying,
We see them every week.,Not-Bullying,
When does the train usually leave?,Not-Bullying,
How cruel you are,Bullying,Vocational
I will take it from you.,Not-Bullying,
Why do you talk so badly?,Bullying,Vocational
The country will not improve by you,Bullying,Ethnicity
What Muslim are you talking about you idiot ,Bullying,Religion
You figure is to much hot,Bullying ,Sexual
I kiss u.,Bullying ,Sexual
Take it easy,Not-Bullying ,
Don't worry,Not-Bullying ,
whats the fuck girl,Bullying,Sexual
U are poor people,Bullying ,Vocational
I want to buy a car,Not-Bullying ,
You are my wife,Not-Bullying ,
She looks like a bitch,Bullying,Sexual
He drank alcohol and beat his wife,Bullying,Vocational
Eid day are the bad day of month,Bullying ,Religion 
say earth flat like a carpet is an idiot.,Bullying ,Religion
the prophet Muhamad s.w.s declared islam afull religion,Bullying ,Religion
Sexy ,Bullying ,Sexual
Why do Muslims force women to cover up and stay at home?,Bullying ,Religion
I want to do this,Not-Bullying ,
no kidding!,Not-Bullying ,
Damn good ,Not-Bullying ,
I love this place ,Not-Bullying ,
Fuck of this,Bullying ,Sexual
you are a lier,Bullying ,Vocational 
Thanks kitty,Not-Bullying ,
you are third gender people ,Bullying ,Troll
waiting for you,Not-Bullying ,
I hate you,Not-Bullying ,
Hey girl i sleep at a Night ,Bullying ,Sexual
I hate Lucky Charms,Bullying ,Vocational 
Nuclear weapons pose a threat to everyone.,Bullying ,Threats 
The police have to take any terrorist,Bullying ,Threats 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying ,Threats 
Three main line railway stations were closed,Bullying ,Threats 
The key witness for the prosecution was offered police protection after she received ,Bullying ,Threats 
" If ur still not Muslim till the day of judgment,  shock u would be to learn that Allah is the one and only true God",Bullying,Religion
Expect trouble this weekend from the radical Christians that support him.,Bullying,Religion
Just another day at the office.,Not-Bullying,
Dawg I want this bitch to suffer,Bullying,Sexual
Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.,Bullying,Religion
How about you stop asking questions lil nigga,Bullying,Ethnicity
To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done,Bullying,Religion
India tut tut tut,Bullying ,Vocational 
Watching Movie,Not-Bullying ,
Your noods is virul,Bullying ,Sexual
now I know what I will watch tomorrow while eating,Not-Bullying,
Haha you are a bad student,Bullying ,Troll
The video is so nice! ,Not-Bullying ,
This video is worth going viral.,Bullying ,Threats 
"You are the next tik tok super star, my friend.",Bullying ,Troll
"I can’t believe it’s you, keep growing, keep doing.",Bullying ,Vocational 
"just love your TikTok videos, they are quite entertaining",Not-Bullying ,
.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not,Bullying,Troll
